race_date,race_course,race_no,race_time,race_name,race_track,race_distance,race_going,weather_condition,entry_type,entry_weight,entry_age,race_type,value_of_race,final_position,margin,bracket,horse_number,horse_name,horse_id,horse_sex,horse_age,horse_weight,trainer,jockey,running_position,finish_time,win_fav,win_odds,sire,dam,dam_sire,dam_dam
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,1st,,5,7,Heroine's Crest,2021105089,F,3,55.0,Masaru Honda,Kota Fujioka,5>4>4>4>1st,1:56.0,3.0,5.6,Screen Hero,Stella Starlight,Deep Impact,Noble Stella
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,2nd,4,7,10,Alpinist,2021106296,F,3,54.0,Yoshiaki Sugiyama,Toshiki Akiyama,11>11>9>10>2nd,1:56.7,5.0,10.4,Henny Hughes,Alma Leimomi,Uncle Mo,Malibu Win
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,3rd,HD,6,8,Namura Lena,2021104304,F,3,55.0,Yoshihiko Kawamura,Ryuji Wada,1>1>1>1>3rd,1:56.7,1.0,2.2,Animal Kingdom,Namura Otsu,Deep Impact,Punctilio
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,4th,1 1/4,7,11,Berenice,2021100680,F,3,55.0,Hidenori Take,Takeshi Yokoyama,2>2>2>2>4th,1:56.9,2.0,4.9,Black Tide,Sadamu Fujiko,Kurofune,Meyadini
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,5th,2,2,2,Daishin Sandy,2021106246,F,3,55.0,Tomoyuki Umeda,Fuma Matsuwaka,10>9>8>8>5th,1:57.2,4.0,9.0,Copano Rickey,Cats,Storm Cat,Blissful
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,6th,1 3/4,4,5,Famous Grace,2021104688,F,3,55.0,Kiyoshi Tani,Hideaki Miyuki,12>13>12>11>6th,1:57.5,9.0,38.9,Isla Bonita,Hikaru Yume Akari,Symboli Kris S,Hikaru Egao
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,7th,2,8,13,Shinto Kizuna,2021103928,F,3,54.0,Yoshihito Kitade,Taiga Tsunoda,2>2>2>2>7th,1:57.8,10.0,79.0,Declaration of War,Shinto Asahi,Strong Return,Que Sera Sera
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,8th,HD,1,1,Luxe Brillante,2021102299,F,3,55.0,Yasushi Shono,Shota Kato,7>7>6>6>8th,1:57.8,13.0,412.5,Deep Brillante,Major Dream,Daiwa Major,Nadeaud
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,9th,3/4,5,6,Fraises Tarte,2021100742,F,3,55.0,Kodai Hasegawa,Manabu Sakai,4>4>4>4>9th,1:57.9,11.0,116.2,Hokko Tarumae,Bolide,Deep Impact,Victoria's Wildcat
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,10th,NK,6,9,Kurino Orion,2021101243,F,3,53.0,Yasuyuki Takahashi,Manami Nagashima,5>6>6>6>10th,1:58.0,7.0,18.4,Drefong,Lover's Cape,Daiwa Major,Hikaru Amore
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,11th,9,3,3,Ai Towa,2021103018,F,3,55.0,Yasuyuki Tsujino,Atsuya Nishimura,8>8>12>12>11th,1:59.4,6.0,12.5,New Year's Day,Mole Amore,Giant Wrecker,Sanrei Fleur
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,12th,NS,8,12,Le Vent Sunrise,2021102464,F,3,51.0,Osamu Hirata,Naho Furukawa,9>9>11>12>12th,1:59.4,8.0,37.0,New Year's Day,Honey Melon Chan,South Vigorous,Ephimeron
2024-03-31,HANSHIN,1,10:05,,Dirt,1800,Standard,Fine,F&M DES,Weight for Age,3-Year-Olds,Maiden,10480000,13th,DS,4,4,Sunshine Donau,2021107111,F,3,55.0,Kazuya Makita,Haruhiko Kawasu,12>11>9>8>13th,2:01.2,12.0,211.6,American Patriot,A Shin Donau,Grass Wonder,Eishin Venus
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,1st,,5,9,Kurino Kingman,2021101431,C,3,57.0,Yasuyuki Takahashi,Manabu Sakai,3>3>1st,1:25.5,3.0,3.9,Lovely Day,Phillis,Afleet,Phila Street
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,2nd,2,8,15,Astraka,2021100639,C,3,57.0,Katsunori Tanaka,Hayato Yoshida,2>2>2nd,1:25.8,4.0,4.2,Drefong,Akaka Fall,Daiwa Major,Forty Colors .
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,3rd,1/2,4,7,Tamamo Calicot,2021103197,G,3,57.0,Yoshihiko Kawamura,Ryuji Wada,4>4>3rd,1:25.9,1.0,3.1,Sinister Minister,Nago Nago Hatsue,Neo Universe,Establish
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,4th,1 1/4,8,16,Neuer Held,2021105055,C,3,57.0,Kazuya Nakatake,Kohei Matsuyama,5>5>4th,1:26.1,2.0,3.6,New Year's Day,Sacher Mine,Mineshaft,Pulsatilla
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,5th,6,3,6,Epic Night,2021106248,C,3,57.0,Kazuhide Sasada,Mirco Demuro,12>10>5th,1:27.1,7.0,44.0,Drefong,Shower Bouquet,Gold Allure,Shadiyna
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,6th,1 1/2,4,8,Dona Aphrodite,2021100794,F,3,55.0,Yasushi Shono,Kota Fujioka,6>5>6th,1:27.3,11.0,108.9,Drefong,Love Juliet,Fusaichi Concorde,Hokko Oka
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,7th,1 3/4,3,5,Migliore Alba,2021105090,C,3,57.0,Haruki Sugiyama,Atsuya Nishimura,9>10>7th,1:27.6,8.0,45.3,New Year's Day,Stella Prado,Heart's Cry,Stella Madrid
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,8th,NK,7,14,Fast Flight,2021109089,F,3,55.0,Hiroshi Miyamoto,Kyosuke Kokubun,6>7>8th,1:27.7,6.0,29.5,Drefong,Just the Marine,Deep Brillante,Love as Gift
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,9th,1/2,1,1,Zenno Tsukiyomi,2021106983,F,3,55.0,Koshiro Take,Yuji Hishida,1>1>9th,1:27.8,5.0,26.8,Lord Kanaloa,Coofa Diva,Frankel,Eden's Causeway
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,10th,1,6,12,Mana,2021101755,F,3,52.0,Yutaka Okumura,Riki Takasugi,9>9>10th,1:28.0,13.0,247.1,Kinshasa no Kiseki,Mandala Kiss,South Vigorous,Sun Shower Kiss
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,11th,1,6,11,Dantsu Niva,2021101425,C,3,57.0,Kiyoshi Tani,Hideaki Miyuki,8>8>11th,1:28.1,10.0,81.4,Leontes,Notice Board,Kurofune,Thanks Note
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,12th,NS,2,4,Pashmina,2021100291,F,3,55.0,Hiroki Kawashima,Akira Sugawara,13>13>12th,1:28.1,9.0,75.2,Majestic Warrior,Hourglass,Agnes Tachyon,Phalaenopsis
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,13th,7,7,13,Sweet Will,2021100882,F,3,54.0,Akira Murayama,Toshiki Akiyama,14>14>13th,1:29.3,15.0,431.5,Hokko Tarumae,Honey Will,Henny Hughes,Sun Will Shine
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,14th,10,1,2,Kikuno Joyeux,2021102850,F,3,55.0,Kazuya Makita,Fuma Matsuwaka,9>12>14th,1:31.0,12.0,189.1,Sinister Minister,Kikuno Hayabusa,Sakura Bakushin O,Ogi Savanna
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,15th,2,5,10,Heart and Soul,2021104942,C,3,54.0,Minoru Oguri,Yuichiro Shibata,15>15>15th,1:31.4,14.0,268.0,Real Impact,After Dark,Workforce,Elizabeth Moon
2024-03-31,HANSHIN,2,10:35,,Dirt,1400,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,16th,DS,2,3,Kurino Happiness,2021102051,F,3,55.0,Kunihiko Watanabe,Takuma Ogino,16>16>16th,1:33.7,16.0,628.4,Copano Rickey,Tsurumaru Miho,Neo Universe,Lyrist
2024-03-31,HANSHIN,3,11:05,,Dirt,1800,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,1st,,5,5,Keiai Elnath,2021103121,C,3,57.0,Akira Murayama,Kohei Matsuyama,2>2>2>2>1st,1:54.8,6.0,11.4,Sinister Minister,Faire Coucou,Alamshar,Woody Coo
2024-03-31,HANSHIN,3,11:05,,Dirt,1800,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,2nd,1,3,3,An Dura,2021100480,C,3,57.0,Naosuke Sugai,Takeshi Yokoyama,3>3>2>3>2nd,1:55.0,1.0,2.1,Duramente,Ange de Bonheur,Taiki Shuttle,Hatano Plie
2024-03-31,HANSHIN,3,11:05,,Dirt,1800,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,3rd,1 3/4,6,6,Suzuno Iceman,2021100611,C,3,57.0,Koichi Ishizaka,Mirai Iwata,3>3>4>3>3rd,1:55.3,2.0,3.7,Kizuna,Courtesan,Street Sense,Lady Discreet
2024-03-31,HANSHIN,3,11:05,,Dirt,1800,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,4th,4,2,2,Iron Wall,2021102593,C,3,57.0,Hiroyuki Oneda,Hideaki Miyuki,9>9>9>8>4th,1:56.0,5.0,10.5,Danon Legend,Meikei Sophia,King Kamehameha,Gun and Rose
2024-03-31,HANSHIN,3,11:05,,Dirt,1800,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,5th,3 1/2,1,1,Hasta la Vista,2021106678,C,3,57.0,Koichi Shintani,Atsuya Nishimura,7>7>7>5>5th,1:56.6,3.0,7.0,Kizuna,Paved,Quality Road,Sirmione
2024-03-31,HANSHIN,3,11:05,,Dirt,1800,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,6th,2,8,9,Meisho Yosugara,2021102569,G,3,53.0,Kunihiko Watanabe,Nana Kawaharada,5>5>5>5>6th,1:56.9,8.0,26.9,A Shin Hikari,Meisho Sereno,I'll Have Another,Personal Brain
2024-03-31,HANSHIN,3,11:05,,Dirt,1800,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,7th,4,8,8,Meisho Roman,2021107186,C,3,56.0,Koichi Tsunoda,Yamato Tsunoda,5>5>5>5>7th,1:57.6,9.0,55.5,Roger Barows,Saariselka,War Emblem,Last Resort
2024-03-31,HANSHIN,3,11:05,,Dirt,1800,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,8th,NS,4,4,T O Edison,2021102230,C,3,54.0,Hisashi Shimizu,Seinosuke Yoshimura,8>8>8>9>8th,1:57.6,7.0,21.0,Satono Diamond,T O Amore,Johannesburg,Good Day Copa
2024-03-31,HANSHIN,3,11:05,,Dirt,1800,Standard,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,9th,6,7,7,Booyaka,2021105211,G,3,57.0,Kenichi Fujioka,Kota Fujioka,1>1>1>1>9th,1:58.6,4.0,10.0,Mind Your Biscuits,Brezza Fresca,Manhattan Cafe,Breezy Woods
2024-03-31,HANSHIN,4,11:35,,Turf,2400,Good to Firm,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,1st,,8,10,Gran Artista,2021103557,C,3,57.0,Ryo Terashima,Kota Fujioka,5>5>3>2>1st,2:27.9,2.0,3.0,Mikki Rocket,Reina Sofia,Special Week,Guernika
2024-03-31,HANSHIN,4,11:35,,Turf,2400,Good to Firm,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,2nd,NS,7,7,Make You Mine,2021104981,C,3,57.0,Katsunori Tanaka,Yusuke Fujioka,2>2>2>2>2nd,2:27.9,1.0,1.7,Kizuna,Emma Song,Unbridled's Song,Advancing Star
2024-03-31,HANSHIN,4,11:35,,Turf,2400,Good to Firm,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,3rd,1 3/4,8,9,Satono Phantom,2021105410,C,3,57.0,Yasuo Tomomichi,Mirai Iwata,2>3>5>4>3rd,2:28.2,3.0,4.7,Satono Diamond,Wing Stealth,Hawk Wing,Starlight Smile
2024-03-31,HANSHIN,4,11:35,,Turf,2400,Good to Firm,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,4th,1/2,6,6,Jaldabaoth,2021106802,C,3,57.0,Toshihiro Ebina,Ryuji Wada,7>7>8>7>4th,2:28.3,7.0,46.4,Screen Hero,Paranormal,Stay Gold,Meine Sorceress
2024-03-31,HANSHIN,4,11:35,,Turf,2400,Good to Firm,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,5th,NS,7,8,Lux Cherry,2021103925,F,3,51.0,Mamoru Ishibashi,Nana Kawaharada,5>5>5>7>5th,2:28.3,5.0,26.9,Satono Aladdin,Caxixi,Jungle Pocket,Every Whisper
2024-03-31,HANSHIN,4,11:35,,Turf,2400,Good to Firm,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,6th,NS,5,5,Singlehearted,2021105572,F,3,55.0,Tatsuya Yoshioka,Hideaki Miyuki,10>9>5>4>6th,2:28.3,8.0,60.1,Heart's Cry,Single Gaze,Not A Single Doubt,Redaluca's Gaze
2024-03-31,HANSHIN,4,11:35,,Turf,2400,Good to Firm,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,7th,1 1/4,3,3,Jambi,2021103878,F,3,55.0,Kazuya Makita,Kyosuke Kokubun,8>8>9>9>7th,2:28.5,10.0,310.5,Screen Hero,Global Fame,Kurofune,Seeking Fame
2024-03-31,HANSHIN,4,11:35,,Turf,2400,Good to Firm,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,8th,1 3/4,2,2,Matenro Mars,2021106974,C,3,57.0,Mitsugu Kon,Kazuo Yokoyama,1>1>1>1>8th,2:28.8,6.0,40.7,Saxon Warrior,Urusu,Poet's Voice,Alsalwa
2024-03-31,HANSHIN,4,11:35,,Turf,2400,Good to Firm,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,9th,1/2,1,1,Pure Smile,2021105877,F,3,55.0,Shogo Yasuda,Atsuya Nishimura,4>3>3>4>9th,2:28.9,4.0,24.8,Harbinger,Leirion,Daiwa Major,Liliside
2024-03-31,HANSHIN,4,11:35,,Turf,2400,Good to Firm,Fine,DES,Weight for Age,3-Year-Olds,Maiden,10480000,10th,2 1/2,4,4,Rouge Celeste,2021105490,F,3,51.0,Yasutoshi Ikee,Naho Furukawa,9>9>10>9>10th,2:29.3,9.0,175.7,Cheval Grand,Gienah,Redoute's Choice,Zarakiysha
2024-03-31,HANSHIN,5,12:25,,Turf,1600,Good to Firm,Cloudy,MIX SD,Weight for Age,3-Year-Olds,Allowance,14880000,1st,,6,6,Terra Merita,2021105127,F,3,53.0,Naosuke Sugai,Manami Nagashima,8>9>1st,1:34.4,5.0,8.7,Bricks and Mortar,Terra Nova,Victoire Pisa,Air Thule
2024-03-31,HANSHIN,5,12:25,,Turf,1600,Good to Firm,Cloudy,MIX SD,Weight for Age,3-Year-Olds,Allowance,14880000,2nd,1/2,7,7,Altoum,2021105746,C,3,57.0,Kenichi Fujioka,Yusuke Fujioka,5>7>2nd,1:34.5,2.0,3.9,Maurice,Blanche Dame,Deep Impact,Sleepless Night
2024-03-31,HANSHIN,5,12:25,,Turf,1600,Good to Firm,Cloudy,MIX SD,Weight for Age,3-Year-Olds,Allowance,14880000,3rd,HD,8,9,Meiner Tigre,2021106815,C,3,57.0,Masato Nishizono,Takeshi Yokoyama,2>4>3rd,1:34.5,1.0,2.5,Screen Hero,Meine Elena,Roses in May,Gaily Pixy
2024-03-31,HANSHIN,5,12:25,,Turf,1600,Good to Firm,Cloudy,MIX SD,Weight for Age,3-Year-Olds,Allowance,14880000,4th,1 1/2,3,3,Lila Bonito,2021103519,F,3,55.0,Naosuke Sugai,Suguru Hamanaka,5>4>4th,1:34.7,6.0,14.8,Screen Hero,Native Code,Agnes Digital,Crack Code
2024-03-31,HANSHIN,5,12:25,,Turf,1600,Good to Firm,Cloudy,MIX SD,Weight for Age,3-Year-Olds,Allowance,14880000,5th,NK,4,4,Gloria Laus,2021104830,C,3,57.0,Takashi Saito,Hideaki Miyuki,1>1>5th,1:34.8,4.0,6.4,Real Impact,Antiphona,Songandaprayer,Snatched
2024-03-31,HANSHIN,5,12:25,,Turf,1600,Good to Firm,Cloudy,MIX SD,Weight for Age,3-Year-Olds,Allowance,14880000,6th,1 3/4,5,5,Bloomin' Design,2021105283,C,3,57.0,Hiroshi Miyamoto,Atsuya Nishimura,2>2>6th,1:35.1,3.0,4.2,Logotype,Late Bloomer,Jungle Pocket,Blooming Snow
2024-03-31,HANSHIN,5,12:25,,Turf,1600,Good to Firm,Cloudy,MIX SD,Weight for Age,3-Year-Olds,Allowance,14880000,7th,HD,2,2,Z Spunky,2021107255,C,3,57.0,Toru Miya,Kota Fujioka,5>4>7th,1:35.1,8.0,81.0,Discreet Cat,Z Gaga,Bago,Neo Silvia
2024-03-31,HANSHIN,5,12:25,,Turf,1600,Good to Firm,Cloudy,MIX SD,Weight for Age,3-Year-Olds,Allowance,14880000,8th,6,1,1,Sol Amazon,2021104667,C,3,54.0,Minoru Oguri,Seinosuke Yoshimura,8>7>8th,1:36.1,9.0,270.1,Leontes,Amicable Number,Daiwa Major,Hishi Silver Made
2024-03-31,HANSHIN,5,12:25,,Turf,1600,Good to Firm,Cloudy,MIX SD,Weight for Age,3-Year-Olds,Allowance,14880000,9th,1 1/2,8,8,Nobori Shoryu,2021102718,C,3,56.0,Mamoru Ishibashi,Taiga Tsunoda,2>2>9th,1:36.4,7.0,47.1,Real Steel,Swing Dance,Kurofune,Sunday Mitchi
2024-03-31,HANSHIN,6,12:55,,Dirt,1800,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,15200000,1st,,7,8,Mozu Tanjiro,2019103776,H,5,58.0,Kazuya Makita,Atsuya Nishimura,4>4>4>2>1st,1:53.0,3.0,7.7,A Shin Hikari,Mozu Hatsukoi,Kurofune,Coeur en Fleur
2024-03-31,HANSHIN,6,12:55,,Dirt,1800,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,15200000,2nd,NK,6,7,Meisho Cougar,2020106205,C,4,58.0,Mitsumasa Nakauchida,Yuji Nakai,4>4>6>3>2nd,1:53.1,1.0,1.9,Meisho Bowler,Meisho Gohime,Jungle Pocket,Meisho Fuku Hime
2024-03-31,HANSHIN,6,12:55,,Dirt,1800,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,15200000,3rd,2,8,11,Dia Graf,2020103550,C,4,58.0,Koichi Tsunoda,Fuma Matsuwaka,9>8>8>6>3rd,1:53.4,2.0,3.6,Rulership,Pisa no Graf,Sunday Silence,Shinko Lovely
2024-03-31,HANSHIN,6,12:55,,Dirt,1800,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,15200000,4th,1 1/2,7,9,Golden Mic,2020110101,C,4,58.0,Hideyuki Mori,Akira Sugawara,2>2>2>1>4th,1:53.7,4.0,9.4,Justify,Sambuca Classica,Cat Thief,In Her Glory
2024-03-31,HANSHIN,6,12:55,,Dirt,1800,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,15200000,5th,3 1/2,1,1,Firm Twenty,2020104491,C,4,58.0,Yoshihito Kitade,Kenichi Ikezoe,10>10>9>8>5th,1:54.2,5.0,13.7,Kizuna,Danon Elegant,Brian's Time,Dream Come Come
2024-03-31,HANSHIN,6,12:55,,Dirt,1800,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,15200000,6th,5,8,10,Befana,2020102757,F,4,56.0,Takeshi Matsushita,Haruhiko Kawasu,11>11>11>10>6th,1:55.0,6.0,14.4,Epiphaneia,Ave,Danehill Dancer,Anna Amalia
2024-03-31,HANSHIN,6,12:55,,Dirt,1800,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,15200000,7th,3 1/2,3,3,Meisho Nitabo,2017102927,H,7,57.0,Yuji Iida,Yamato Tsunoda,6>6>7>6>7th,1:55.6,11.0,403.2,Kinshasa no Kiseki,North Pastoral,King Halo,Blanc Pur
2024-03-31,HANSHIN,6,12:55,,Dirt,1800,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,15200000,8th,1/2,6,6,Aster Cenci,2020101710,C,4,58.0,Hiroki Kawashima,Yusaku Kokubun,2>2>2>3>8th,1:55.7,9.0,114.7,Pyro,Aster Humor,More Than Ready,Saratoga Humor
2024-03-31,HANSHIN,6,12:55,,Dirt,1800,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,15200000,9th,3 1/2,4,4,Hiroshikun,2019104533,G,5,55.0,Hiroshi Miyamoto,Kaito Kawabata,6>6>4>3>9th,1:56.3,8.0,78.7,Drefong,Esprit de Paris,Heart's Cry,Fabulous la Fouine
2024-03-31,HANSHIN,6,12:55,,Dirt,1800,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,15200000,10th,1,5,5,Ahead,2020110092,F,4,53.0,Kazuya Nakatake,Yuichiro Shibata,8>8>10>11>10th,1:56.5,10.0,121.3,Frankel,Blanc Bonheur,Deep Impact,Le Sucre
2024-03-31,HANSHIN,6,12:55,,Dirt,1800,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,15200000,11th,DS,2,2,Selectio,2020100987,C,4,58.0,Shinsuke Hashiguchi,Katsuma Sameshima,1>1>1>8>11th,1:59.8,7.0,17.7,Just a Way,Key Pocket,Dehere,Turf Mobius
2024-03-31,HANSHIN,7,13:25,,Dirt,1400,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,21740000,1st,,8,16,August,2019100284,H,5,58.0,Makoto Saito,Akira Sugawara,4>3>1st,1:24.1,8.0,18.2,The Factor,Apres les Cours,Zenno Rob Roy,Cheerful
2024-03-31,HANSHIN,7,13:25,,Dirt,1400,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,21740000,2nd,2,5,9,Shigeru Sorosoro,2020110100,F,4,56.0,Kiyoshi Tani,Katsuma Sameshima,15>12>2nd,1:24.5,6.0,16.0,Runhappy,Distinguishable,Distorted Humor,Officiate
2024-03-31,HANSHIN,7,13:25,,Dirt,1400,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,21740000,3rd,1/2,8,15,Camacho Quinn,2020105950,F,4,56.0,Shinsuke Hashiguchi,Mirco Demuro,6>5>3rd,1:24.6,3.0,5.9,Sinister Minister,Make a Miracle,Fasliyev,Taiki Prelude
2024-03-31,HANSHIN,7,13:25,,Dirt,1400,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,21740000,4th,1/2,6,11,Lindo Lago,2019101200,H,5,58.0,Yoshiaki Sugiyama,Yuichi Kitamura,9>8>4th,1:24.7,10.0,93.7,Mikki Isle,Wyola,Sadler's Wells,Rubies From Burma
2024-03-31,HANSHIN,7,13:25,,Dirt,1400,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,21740000,5th,2,1,1,Double Joke,2020110026,C,4,58.0,Mitsugu Kon,Kazuo Yokoyama,16>13>5th,1:25.0,5.0,13.0,Practical Joke,Double Date,Rahy,Strike a Balance
2024-03-31,HANSHIN,7,13:25,,Dirt,1400,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,21740000,6th,2,4,8,Precioso,2017104092,G,7,58.0,Hisashi Shimizu,Hiroshi Kitamura,10>8>6th,1:25.4,14.0,240.5,Black Tide,Air la Jolla,Boston Harbor,Tenzan Storm
2024-03-31,HANSHIN,7,13:25,,Dirt,1400,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,21740000,7th,NK,5,10,Vendaval y Rabiar,2020101968,C,4,55.0,Ryo Terashima,Seina Imamura,2>1>7th,1:25.4,4.0,10.8,Asia Express,A Shin Raccoon,Jungle Pocket,Eishin Rudens
2024-03-31,HANSHIN,7,13:25,,Dirt,1400,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,21740000,8th,NK,4,7,Advance Pharoah,2020110106,C,4,58.0,Hideyuki Mori,Atsuya Nishimura,1>2>8th,1:25.5,2.0,4.8,American Pharoah,Fair Huntress,Tiznow,Beauty's Due
2024-03-31,HANSHIN,7,13:25,,Dirt,1400,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,21740000,9th,1/2,3,5,T M Falcon,2017102599,H,7,58.0,Kazuya Takahashi,Ryuji Wada,10>11>9th,1:25.6,11.0,155.1,Smart Falcon,Appellation,Admire Moon,Ambroise
2024-03-31,HANSHIN,7,13:25,,Dirt,1400,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,21740000,10th,1/2,2,4,M's Mind,2020101641,C,4,58.0,Yoshiyuki Arakawa,Suguru Hamanaka,6>5>10th,1:25.7,7.0,16.1,Mind Your Biscuits,Piena Applause,Fuji Kiseki,Piena Mermaid
2024-03-31,HANSHIN,7,13:25,,Dirt,1400,Standard,Cloudy,MIX DES,Special Weight,4-Year-Olds & Up,Allowance,21740000,11th,2,3,6,Yamanin Reliure,2018102021,M,6,56.0,Kazuyoshi Kihara,Akatsuki Tomita,6>7>11th,1:26.0,9.0,38.0,Victoire Pisa,Yamanin Petit Four,French Deputy,One of a Klein
